query_id,query_text,predicted_doc_id,predicted_rank,ground_truth_doc_ids,is_relevant,expansion_terms
q20111,python calc page align,d19392,5,d20111,False,integer;column;error;function;close
q20111,python calc page align,d16722,6,d20111,False,integer;column;error;function;close
q20111,python calc page align,d18064,7,d20111,False,integer;column;error;function;close
q20111,python calc page align,d18061,8,d20111,False,integer;column;error;function;close
q20111,python calc page align,d17904,9,d20111,False,integer;column;error;function;close
q20111,python calc page align,d19248,10,d20111,False,integer;column;error;function;close
q20112,python numpy array as float,d12412,1,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d4528,2,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d746,3,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d10557,4,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d4345,5,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d20136,6,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d15474,7,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d2156,8,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d14518,9,d20112,False,array;integer;function;error;row
q20112,python numpy array as float,d87,10,d20112,False,array;integer;function;error;row
q20113,input string that replaces occurences python,d11823,1,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d4588,2,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d3563,3,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d15852,4,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d14202,5,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d15721,6,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d10185,7,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d13725,8,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d13723,9,d20113,False,string;update;condition;error;integer
q20113,input string that replaces occurences python,d4228,10,d20113,False,string;update;condition;error;integer
q20114,python check all items in list are ints,d5546,1,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d15053,2,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d20412,3,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d7031,4,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d6941,5,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d13115,6,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d5737,7,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d20015,8,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d3653,9,d20114,False,list;integer;error;loop;search
q20114,python check all items in list are ints,d2331,10,d20114,False,list;integer;error;loop;search
q20115,how to save variable to text file python,d13772,1,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d9681,2,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d13675,3,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d20115,4,d20115,True,variable;save;file;write;database
q20115,how to save variable to text file python,d15896,5,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d1348,6,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d12227,7,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d11661,8,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d11706,9,d20115,False,variable;save;file;write;database
q20115,how to save variable to text file python,d7694,10,d20115,False,variable;save;file;write;database
q20116,how to skip an index in a for loop python,d8038,1,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d3970,2,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d2548,3,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d4586,4,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d5094,5,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d5605,6,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d1351,7,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d13755,8,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d9741,9,d20116,False,loop;integer;row;error;search
q20116,how to skip an index in a for loop python,d20417,10,d20116,False,loop;integer;row;error;search
q20117,how to create a tokenization code in python,d2694,1,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d1054,2,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d981,3,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d6447,4,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d5253,5,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d5255,6,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d3698,7,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d2012,8,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d1629,9,d20117,False,method;error;integer;condition;database
q20117,how to create a tokenization code in python,d4189,10,d20117,False,method;error;integer;condition;database
q20118,python raise without parentheses,d6524,1,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d1378,2,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d7716,3,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d14671,4,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d9653,5,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d3960,6,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d5676,7,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d13680,8,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d11535,9,d20118,False,integer;parameter;row;variable;write
q20118,python raise without parentheses,d2179,10,d20118,False,integer;parameter;row;variable;write
q20119,how to seperate list with commas python,d20119,1,d20119,True,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d10463,2,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d15838,3,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d16207,4,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d1314,5,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d5637,6,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d12164,7,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d10356,8,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d11759,9,d20119,False,list;column;integer;error;dictionary
q20119,how to seperate list with commas python,d9252,10,d20119,False,list;column;integer;error;dictionary
q20120,python asynchronous function call return,d14056,1,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d11443,2,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d3162,3,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d4054,4,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d17825,5,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d12392,6,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d15720,7,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d16000,8,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d12438,9,d20120,False,return;function;condition;error;method
q20120,python asynchronous function call return,d7912,10,d20120,False,return;function;condition;error;method
q20121,how to make a seconds to time in python,d13900,1,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d14549,2,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d13420,3,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d14715,4,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d20306,5,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d7589,6,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d15537,7,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d3673,8,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d5673,9,d20121,False,method;integer;loop;error;function
q20121,how to make a seconds to time in python,d13651,10,d20121,False,method;integer;loop;error;function
q20122,python cast true or false as numbers,d7533,1,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d17207,2,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d19225,3,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d19133,4,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d17132,5,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d16758,6,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d16855,7,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d16689,8,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d17305,9,d20122,False,integer;error;condition;string;write
q20122,python cast true or false as numbers,d18690,10,d20122,False,integer;error;condition;string;write
q20123,add milliseconds to datetime python,d17861,1,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d14899,2,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d10838,3,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d1506,4,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d6308,5,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d13605,6,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d16137,7,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d10580,8,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d12001,9,d20123,False,add;update;error;query;integer
q20123,add milliseconds to datetime python,d12533,10,d20123,False,add;update;error;query;integer
q20124,how to read the last n lines of a program on python,d4287,1,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d20124,2,d20124,True,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d5811,3,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d11180,4,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d4991,5,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d13890,6,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d3873,7,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d20072,8,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d10720,9,d20124,False,read;integer;string;loop;file
q20124,how to read the last n lines of a program on python,d657,10,d20124,False,read;integer;string;loop;file
q20125,python mysql get list of table columns,d20125,1,d20125,True,column;table;list;database;search
q20125,python mysql get list of table columns,d295,2,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d11371,3,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d9112,4,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d16167,5,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d3200,6,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d12032,7,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d11089,8,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d16918,9,d20125,False,column;table;list;database;search
q20125,python mysql get list of table columns,d18733,10,d20125,False,column;table;list;database;search
q20126,how to get domain part of a url in python,d17419,1,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d17294,2,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d18206,3,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d17243,4,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d18026,5,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d20269,6,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d18560,7,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d19277,8,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d17027,9,d20126,False,search;method;string;error;row
q20126,how to get domain part of a url in python,d17788,10,d20126,False,search;method;string;error;row
q20127,python flatten a nested dictionaary,d3077,1,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d15121,2,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d11563,3,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d10692,4,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d14867,5,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d10753,6,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d10751,7,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d20367,8,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d2392,9,d20127,False,dictionary;integer;error;delete;loop
q20127,python flatten a nested dictionaary,d15076,10,d20127,False,dictionary;integer;error;delete;loop
q20128,python session set get,d9057,1,d20128,False,get;search;update;query;condition
q20128,python session set get,d8515,2,d20128,False,get;search;update;query;condition
q20128,python session set get,d15422,3,d20128,False,get;search;update;query;condition
q20128,python session set get,d15610,4,d20128,False,get;search;update;query;condition
q20128,python session set get,d6350,5,d20128,False,get;search;update;query;condition
q20128,python session set get,d5654,6,d20128,False,get;search;update;query;condition
q20128,python session set get,d7230,7,d20128,False,get;search;update;query;condition
q20128,python session set get,d11519,8,d20128,False,get;search;update;query;condition
q20128,python session set get,d20128,9,d20128,True,get;search;update;query;condition
q20128,python session set get,d13717,10,d20128,False,get;search;update;query;condition
q20129,python save graph into file,d12566,1,d20129,False,save;file;write;database;error
q20129,python save graph into file,d15041,2,d20129,False,save;file;write;database;error
q20129,python save graph into file,d5269,3,d20129,False,save;file;write;database;error
q20129,python save graph into file,d5366,4,d20129,False,save;file;write;database;error
q20129,python save graph into file,d3793,5,d20129,False,save;file;write;database;error
q20129,python save graph into file,d10949,6,d20129,False,save;file;write;database;error
q20129,python save graph into file,d10830,7,d20129,False,save;file;write;database;error
q20129,python save graph into file,d7985,8,d20129,False,save;file;write;database;error
q20129,python save graph into file,d15777,9,d20129,False,save;file;write;database;error
q20129,python save graph into file,d13677,10,d20129,False,save;file;write;database;error
q20130,chmod python windows to remove file,d8739,1,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d2120,2,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d8422,3,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d3612,4,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d1747,5,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d8168,6,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d3761,7,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d4360,8,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d9182,9,d20130,False,file;delete;error;query;update
q20130,chmod python windows to remove file,d1368,10,d20130,False,file;delete;error;query;update
q20131,add suffixes on concat python,d8305,1,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d20131,2,d20131,True,add;update;error;write;query
q20131,add suffixes on concat python,d9397,3,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d2931,4,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d9193,5,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d14555,6,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d13839,7,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d20262,8,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d16043,9,d20131,False,add;update;error;write;query
q20131,add suffixes on concat python,d11823,10,d20131,False,add;update;error;write;query
q20132,how to check python object iterable,d8132,1,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d12157,2,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d15415,3,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d12337,4,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d11890,5,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d12694,6,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d3807,7,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d20413,8,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d12434,9,d20132,False,integer;error;method;condition;search
q20132,how to check python object iterable,d2077,10,d20132,False,integer;error;method;condition;search
q20133,python 3 tkinter open file dialog,d14094,1,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d10520,2,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d20133,3,d20133,True,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d8489,4,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d11939,5,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d15965,6,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d13914,7,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d6763,8,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d1258,9,d20133,False,open;file;error;integer;query
q20133,python 3 tkinter open file dialog,d7734,10,d20133,False,open;file;error;integer;query
q20134,how to indent self python,d4812,1,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d11103,2,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d4275,3,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d9126,4,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d12693,5,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d12668,6,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d10534,7,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d3062,8,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d3861,9,d20134,False,integer;error;column;function;row
q20134,how to indent self python,d7027,10,d20134,False,integer;error;column;function;row
q20135,tracking centroid of an object python,d12455,1,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d16043,2,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d6939,3,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d10629,4,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d10059,5,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d20135,6,d20135,True,method;update;row;string;search
q20135,tracking centroid of an object python,d11823,7,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d8296,8,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d3580,9,d20135,False,method;update;row;string;search
q20135,tracking centroid of an object python,d1410,10,d20135,False,method;update;row;string;search
q20136,python3 ctypes return float array,d10557,1,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d15474,2,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d20136,3,d20136,True,array;return;error;integer;function
q20136,python3 ctypes return float array,d2156,4,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d87,5,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d4345,6,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d14518,7,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d1903,8,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d4055,9,d20136,False,array;return;error;integer;function
q20136,python3 ctypes return float array,d1971,10,d20136,False,array;return;error;integer;function
q20137,how to make paragraphs in python,d20137,1,d20137,True,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d17268,2,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d20569,3,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d13905,4,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d16410,5,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d7748,6,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d11437,7,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d19626,8,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d18646,9,d20137,False,parameter;write;method;column;integer
q20137,how to make paragraphs in python,d19081,10,d20137,False,parameter;write;method;column;integer
q20138,python rest requests delete,d17825,1,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d5983,2,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d8781,3,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d12742,4,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d9632,5,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d8290,6,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d1935,7,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d5408,8,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d13034,9,d20138,False,delete;error;update;return;query
q20138,python rest requests delete,d8533,10,d20138,False,delete;error;update;return;query
q20139,python replace month number,d6075,1,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d20139,2,d20139,True,integer;update;error;parameter;column
q20139,python replace month number,d4359,3,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d10189,4,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d14327,5,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d1996,6,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d838,7,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d2976,8,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d5107,9,d20139,False,integer;update;error;parameter;column
q20139,python replace month number,d13258,10,d20139,False,integer;update;error;parameter;column
q20140,how to tell what type of data object is in python,d693,1,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d13507,2,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d2657,3,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d5339,4,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d9118,5,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d4724,6,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d3533,7,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d13112,8,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d3562,9,d20140,False,data;database;method;row;integer
q20140,how to tell what type of data object is in python,d208,10,d20140,False,data;database;method;row;integer
q20141,python jsonschema validate schema file,d15284,1,d20141,False,file;error;database;column;update
q20141,python jsonschema validate schema file,d20141,2,d20141,True,file;error;database;column;update
q20141,python jsonschema validate schema file,d2088,3,d20141,False,file;error;database;column;update
q20141,python jsonschema validate schema file,d13970,4,d20141,False,file;error;database;column;update
q20141,python jsonschema validate schema file,d18750,5,d20141,False,file;error;database;column;update
q20141,python jsonschema validate schema file,d20300,6,d20141,False,file;error;database;column;update
q20141,python jsonschema validate schema file,d5878,7,d20141,False,file;error;database;column;update
